ID,Partner Name,,Region,Logo,FI Type
563227,Southeast Bank,,South Asia,,SME
563553,ENDA Inter-Arabe,,Middle East and North Africa,,MFI
563693,Rawbank,,Sub-Saharan Africa,,SME
563718,Ahli United Bank,,Middle East and North Africa,,SME
565173,B.Continental,,Latin America and the Caribbean,,SME
565234,HDFC Bank,,South Asia,,MFI
565354,Capital Bank Jor,,Middle East and North Africa,,SME
565533,Coopest,,Europe and Central Asia,,MFI
566073,Stanbic DRC,,Sub-Saharan Africa,,Non-MSME
566074,StanbicMauritius,,Sub-Saharan Africa,,Non-MSME
566174,Banco Daycoval,,Latin America and the Caribbean,,SME
566395,NBC Uruguay,,Latin America and the Caribbean,,SME
566673,CMF,,Sub-Saharan Africa,,MFI
567240,Fibra,,Latin America and the Caribbean,,SME
567255,BRCB,,East Asia and the Pacific,,SME
568134,ABM,,Sub-Saharan Africa,,MFI
568295,KCB,,Sub-Saharan Africa,,SME
568676,Credit Europe Bk,,Europe and Central Asia,,SME
568743,CrediQ,,Latin America and the Caribbean,,SME
568934,NDB SriLanka,,South Asia,,Non-MSME
569033,Equity Bank,,Sub-Saharan Africa,,SME
569194,GHL,,Sub-Saharan Africa,,Non-MSME
569534,CIFI,,Latin America and the Caribbean,,Non-MSME
569593,Techcombank,,East Asia and the Pacific,,SME
569773,Maghreb Leasing,,Middle East and North Africa,,SME
569914,Bank Republic,,Europe and Central Asia,,MFI
570353,Kashf MFB,,Middle East and North Africa,,MFI
570653,FCMB Nigeria,,Sub-Saharan Africa,,SME
570833,AccessTanzania,,Sub-Saharan Africa,,MFI
572035,HDFC Maldives,,South Asia,,Non-MSME
573217,MC Madagascar,,Sub-Saharan Africa,,MFI
573218,MC China,,East Asia and the Pacific,,MFI
574779,BCI Fomento,,Sub-Saharan Africa,,SME
575038,Grupo Mundial,,Latin America and the Caribbean,,Non-MSME
575278,GF Improsa,,Latin America and the Caribbean,,SME
575638,Saudi Home Loans,,Middle East and North Africa,,Non-MSME
575876,MTBank,,Europe and Central Asia,,SME
575919,Bco de Finanzas,,Latin America and the Caribbean,,SME
576158,Progresemos,,Latin America and the Caribbean,,MFI
576219,Amerika Fin.,,Latin America and the Caribbean,,SME
576362,Advans Ghana,,Sub-Saharan Africa,,MFI
578759,Sogebank,,Latin America and the Caribbean,,SME
600839,Agrofinanzas,,Latin America and the Caribbean,,SME
612578,Finandina,,Latin America and the Caribbean,,SME
612838,ATB,,Europe and Central Asia,,SME
612919,ASHIB,,Europe and Central Asia,,SME
613018,Al Amana - Maroc,,Middle East and North Africa,,MFI
614478,BIMA,,East Asia and the Pacific,,SME
614859,Giros y Finanzas,,Latin America and the Caribbean,,MFI
614860,Promerica CR,,Latin America and the Caribbean,,SME
614878,SEF IMON,,Europe and Central Asia,,MFI
615144,FMFI Syria,,Middle East and North Africa,,MFI
615918,Ficohsa,,Latin America and the Caribbean,,SME
616518,OTO Finance,,East Asia and the Pacific,,MFI
616699,JFLC,,East Asia and the Pacific,,SME
617058,Zhong An Credit,,East Asia and the Pacific,,MFI
617178,An Binh Bank,,East Asia and the Pacific,,SME
617279,Sofisa,,Latin America and the Caribbean,,SME
617979,Advans Congo,,Sub-Saharan Africa,,MFI
618047,Access Liberia,,Sub-Saharan Africa,,MFI
618143,MC Senegal,,Sub-Saharan Africa,,MFI
618145,Credivalores,,Latin America and the Caribbean,,Non-MSME
618178,SilkBank Limited,,Middle East and North Africa,,SME
618520,Banco GyT,,Latin America and the Caribbean,,MFI
